Expected_Min_Entropy,Bound_Type,Model,Value
0.4,Higher Bound,Multi Markov Model Bit,0.3990677808
0.5,Lower Bound,Multi Markov Model Bit,0.4991151737
0.5,Mean,Multi Markov Model Bit,0.49917997
0.5,Higher Bound,Multi Markov Model Bit,0.4992447663
0.6,Lower Bound,Multi Markov Model Bit,0.5971880917
0.6,Mean,Multi Markov Model Bit,0.59804117
0.6,Higher Bound,Multi Markov Model Bit,0.5988942483
0.7,Lower Bound,Multi Markov Model Bit,0.6975969853
0.7,Mean,Multi Markov Model Bit,0.69782563
0.7,Higher Bound,Multi Markov Model Bit,0.6980542747
0.8,Lower Bound,Multi Markov Model Bit,0.7966172513
0.8,Mean,Multi Markov Model Bit,0.79813037
0.8,Higher Bound,Multi Markov Model Bit,0.7996434887
0.9,Lower Bound,Multi Markov Model Bit,0.8986632716
0.9,Mean,Multi Markov Model Bit,0.8987599
0.9,Higher Bound,Multi Markov Model Bit,0.8988565284
1.0,Lower Bound,Multi Markov Model Bit,0.9977447996
1.0,Mean,Multi Markov Model Bit,0.99823223
1.0,Higher Bound,Multi Markov Model Bit,0.9987196604
0.1,Lower Bound,LZ78Y bit,0.09966443502
0.1,Mean,LZ78Y bit,0.09969098
0.1,Higher Bound,LZ78Y bit,0.09971752498
0.2,Lower Bound,LZ78Y bit,0.1978569727
0.2,Mean,LZ78Y bit,0.19880786
0.2,Higher Bound,LZ78Y bit,0.1997587473
0.3,Lower Bound,LZ78Y bit,0.2995947219
0.3,Mean,LZ78Y bit,0.29976529
0.3,Higher Bound,LZ78Y bit,0.2999358581
0.4,Lower Bound,LZ78Y bit,0.3989461987
0.4,Mean,LZ78Y bit,0.39900701
0.4,Higher Bound,LZ78Y bit,0.3990678213
0.5,Lower Bound,LZ78Y bit,0.4991151199
0.5,Mean,LZ78Y bit,0.49917993
0.5,Higher Bound,LZ78Y bit,0.4992447401
0.6,Lower Bound,LZ78Y bit,0.5971879854
0.6,Mean,LZ78Y bit,0.59804106
0.6,Higher Bound,LZ78Y bit,0.5988941346
0.7,Lower Bound,LZ78Y bit,0.6975965205
0.7,Mean,LZ78Y bit,0.69782516
0.7,Higher Bound,LZ78Y bit,0.6980537995
0.8,Lower Bound,LZ78Y bit,0.7966161601
0.8,Mean,LZ78Y bit,0.79812925
0.8,Higher Bound,LZ78Y bit,0.7996423399
0.9,Lower Bound,LZ78Y bit,0.8986588324
0.9,Mean,LZ78Y bit,0.89875538
0.9,Higher Bound,LZ78Y bit,0.8988519276
1.0,Lower Bound,LZ78Y bit,0.9970407982
1.0,Mean,LZ78Y bit,0.99803728
1.0,Higher Bound,LZ78Y bit,0.9990337618
0.1,Lower Bound,Bitwise Char Model,0.09973223735
0.1,Mean,Bitwise Char Model,0.09975889
0.1,Higher Bound,Bitwise Char Model,0.09978554265
0.2,Lower Bound,Bitwise Char Model,0.1980773639
0.2,Mean,Bitwise Char Model,0.19903414
0.2,Higher Bound,Bitwise Char Model,0.1999909161
0.3,Lower Bound,Bitwise Char Model,0.3004723364
0.3,Mean,Bitwise Char Model,0.30066263
0.3,Higher Bound,Bitwise Char Model,0.3008529236
0.4,Lower Bound,Bitwise Char Model,0.4003054488
0.4,Mean,Bitwise Char Model,0.40037863
0.4,Higher Bound,Bitwise Char Model,0.4004518112
0.5,Lower Bound,Bitwise Char Model,0.5013787102
0.5,Mean,Bitwise Char Model,0.50145405
0.5,Higher Bound,Bitwise Char Model,0.5015293898
0.6,Lower Bound,Bitwise Char Model,0.6011282182
0.6,Mean,Bitwise Char Model,0.6020877
0.6,Higher Bound,Bitwise Char Model,0.6030471818
0.7,Lower Bound,Bitwise Char Model,0.7088369941
0.7,Mean,Bitwise Char Model,0.70929458
0.7,Higher Bound,Bitwise Char Model,0.7097521659
0.8,Lower Bound,Bitwise Char Model,0.8314314543
0.8,Mean,Bitwise Char Model,0.83363748
0.8,Higher Bound,Bitwise Char Model,0.8358435057
0.9,Lower Bound,Bitwise Char Model,0.9453065799
0.9,Mean,Bitwise Char Model,0.94646307
0.9,Higher Bound,Bitwise Char Model,0.9476195601
1.0,Lower Bound,Bitwise Char Model,0.9941954809
1.0,Mean,Bitwise Char Model,0.99661105
1.0,Higher Bound,Bitwise Char Model,0.9990266191
0.1,Lower Bound,Char Rev Model,0.09968318955
0.1,Mean,Char Rev Model,0.09970983
0.1,Higher Bound,Char Rev Model,0.09973647045
0.2,Lower Bound,Char Rev Model,0.1979728465
0.2,Mean,Char Rev Model,0.19892683
0.2,Higher Bound,Char Rev Model,0.1998808135
